Date,Stock_Name,Open_Price,High_Price,Low_Price,Close_Price,Volume,Daily_Return
2025-06-12,RELIANCE.NS,1441.0552171722854,1444.5252503749707,1422.1187744712338,1429.257080078125,8828114,
2025-06-13,RELIANCE.NS,1411.8076840776937,1423.2092208521976,1402.1907840779525,1415.67431640625,9757276,-0.95033733687242
2025-06-16,RELIANCE.NS,1414.6829254727506,1430.0502146798779,1412.204330439343,1425.4896240234375,8458093,0.6933309097606699
2025-06-17,RELIANCE.NS,1435.6022520574631,1435.6022520574631,1413.59237643736,1418.946044921875,10366599,-0.4590408089462872
2025-06-18,RELIANCE.NS,1417.7563491543892,1430.4468040463896,1413.4931173168031,1417.85546875,6681735,-0.07685818469123085
2025-06-19,RELIANCE.NS,1417.8555238832446,1427.5716651338516,1413.4931722804179,1421.0281982421875,10007230,0.22376959867316248
2025-06-20,RELIANCE.NS,1418.7477927518771,1458.4053131642288,1415.8725983169522,1453.6463623046875,29010635,2.2953917524542122
2025-06-23,RELIANCE.NS,1440.5593915455418,1451.266970188698,1429.6535737155343,1444.326904296875,5989078,-0.6411090241396078
2025-06-24,RELIANCE.NS,1452.4566670598808,1462.3710470398119,1430.744150698803,1438.3782958984375,16402744,-0.411860249971141
2025-06-25,RELIANCE.NS,1451.4652666586912,1459.7933702625824,1447.9952335758323,1454.737060546875,7525851,1.137306138106009
2025-06-26,RELIANCE.NS,1456.5215658062507,1485.9673475108061,1452.5558137403293,1482.497314453125,14657893,1.9082660818315889
2025-06-27,RELIANCE.NS,1486.5621628826696,1508.9686374999123,1484.083567880206,1502.4251708984375,11117052,1.34420860335005
2025-06-30,RELIANCE.NS,1500.838885203447,1511.7447031481738,1483.191240482831,1487.7518310546875,8409527,-0.9766436377643628
2025-07-01,RELIANCE.NS,1487.7518183386467,1518.2881567329412,1487.256099345396,1515.3138427734375,10368523,1.8525947099128137
2025-07-02,RELIANCE.NS,1515.3138007089854,1516.900077238324,1495.7824003020085,1505.7960205078125,6361002,-0.6281089763032099
2025-07-03,RELIANCE.NS,1507.7790015843786,1518.7839394915495,1500.0457365549344,1504.8046875,11283291,-0.0658344818495471
2025-07-04,RELIANCE.NS,1510.9515946827762,1516.900223008299,1504.2097675037892,1514.223388671875,6603501,0.6259085481400639
2025-07-07,RELIANCE.NS,1513.5291857359532,1531.5734294639212,1511.9429091838053,1528.3016357421875,7251074,0.9297338276263556
2025-07-08,RELIANCE.NS,1522.8486600409224,1531.672481820406,1517.0982716385254,1524.4349365234375,7171261,-0.2530062867381666
2025-07-09,RELIANCE.NS,1523.5426661942138,1537.7202774459709,1497.1704406377573,1505.9942626953125,8870660,-1.209672737504952
2025-07-10,RELIANCE.NS,1506.6881895774993,1511.6453792793734,1494.5926951149827,1504.2095947265625,10047129,-0.1185043006442732
2025-07-11,RELIANCE.NS,1499.0542783474266,1502.0285923917668,1477.540121836759,1482.3980712890625,7234991,-1.450032197239437
2025-07-14,RELIANCE.NS,1479.4236826617216,1487.1569471972039,1466.4358695278945,1470.9964599609375,10311846,-0.7691329035668826
2025-07-15,RELIANCE.NS,1473.4750846086956,1483.6869442622558,1469.7076928815193,1472.6820068359375,8132454,0.11458537942672375
2025-07-16,RELIANCE.NS,1460.388154594461,1478.234038357326,1458.9009976142222,1472.8802490234375,10409983,0.013461303022643811
2025-07-17,RELIANCE.NS,1474.6649737790947,1476.8460890701654,1461.2805601585153,1463.7591552734375,11854613,-0.6192692010126066
2025-07-18,RELIANCE.NS,1472.0872520008465,1472.0872520008465,1456.5216021387357,1463.362548828125,10296318,-0.027095061635218354
2025-07-21,RELIANCE.NS,1452.4566531183941,1463.362470991638,1410.9153771961905,1416.3682861328125,22442744,-3.211388916092317
2025-07-22,RELIANCE.NS,1415.178583447059,1419.640054314783,1398.6214967228645,1400.70361328125,20396320,-1.1059745551301958
2025-07-23,RELIANCE.NS,1413.7906253323065,1413.7906253323065,1402.2899684336514,1412.402587890625,8354596,0.8352212772528844
2025-07-24,RELIANCE.NS,1407.0487949065318,1410.81630780687,1384.0474811654185,1390.888427734375,14740507,-1.5232314313711859
2025-07-25,RELIANCE.NS,1386.9226057137396,1389.0046012536307,1372.2492752918665,1379.7841796875,11854722,-0.7983564911071106
2025-07-28,RELIANCE.NS,1380.3790691362324,1395.7463569486692,1373.1415238854815,1375.71923828125,7748361,-0.294607045514228
2025-07-29,RELIANCE.NS,1371.1586653944225,1408.04010820105,1371.1586653944225,1404.9666748046875,10750072,2.125974232938521
2025-07-30,RELIANCE.NS,1405.9581148273558,1411.113664716939,1389.3020300940545,1398.026611328125,7209849,-0.49396641223018456
2025-07-31,RELIANCE.NS,1376.215001569177,1390.5908519212596,1370.365493427784,1378.2969970703125,17065827,-1.4112474038723288
2025-08-01,RELIANCE.NS,1375.025384070285,1393.8627060383,1372.4476694796913,1381.76708984375,10321171,0.2517666933043783
2025-08-04,RELIANCE.NS,1383.155066191865,1403.975263237478,1379.7841529413568,1399.4146728515625,6312820,1.2771749405182442
2025-08-05,RELIANCE.NS,1398.918980991344,1398.918980991344,1376.2150271869518,1379.7841796875,9315972,-1.4027645661354837
2025-08-06,RELIANCE.NS,1379.9824375441353,1383.9481891450812,1371.4560958071288,1380.874755859375,5834312,0.07903961995867625
2025-08-07,RELIANCE.NS,1375.818511047819,1381.7671392504185,1354.3043541251445,1377.5040283203125,9976705,-0.2441008878437123
2025-08-08,RELIANCE.NS,1373.1415514013454,1385.2370458989403,1353.312792536344,1356.0888671875,8793606,-1.554635100336188
2025-08-11,RELIANCE.NS,1358.2700517359046,1376.1159356273254,1349.5453489789295,1374.331298828125,9997486,1.345223906930193
2025-08-12,RELIANCE.NS,1370.0682117041065,1389.8969719255274,1363.4255044148417,1368.5810546875,12244664,-0.4184030550368867
2025-08-13,RELIANCE.NS,1376.115874093997,1379.8833867126677,1365.7057756228248,1370.7620849609375,7457021,0.159364347911084
2025-08-14,RELIANCE.NS,1370.961308962897,1374.3455639562076,1363.794372575189,1367.4774169921875,7126128,-0.2396234915443829
2025-08-18,RELIANCE.NS,1383.602791829514,1388.4802648218374,1370.6626218339861,1375.3409423828125,11785109,0.5750387752597064
2025-08-19,RELIANCE.NS,1383.6027633741608,1414.460091190419,1382.7068811681168,1413.564208984375,14384719,2.77918481328272
2025-08-20,RELIANCE.NS,1406.4969482421875,1418.342205158243,1403.510755146132,1406.4969482421875,8725641,-0.49996036241362063
2025-08-21,RELIANCE.NS,1418.4417067156319,1425.3099750709036,1413.7633861810953,1418.24267578125,11021323,0.8351050852788644
2025-08-22,RELIANCE.NS,1413.464698965694,1416.84907536351,1401.4204113959267,1402.71435546875,5818868,-1.0948986783200665
2025-08-25,RELIANCE.NS,1408.1890657335161,1412.9670232567023,1399.230486508923,1406.0987548828125,5979407,0.2412750251587381
2025-08-26,RELIANCE.NS,1401.519906786198,1403.5107021083375,1375.241384232256,1378.5262451171875,12145259,-1.9609227068779322
2025-08-28,RELIANCE.NS,1383.50331940736,1385.7926612650012,1360.2109883890075,1379.521728515625,13161813,0.07221359781603987
2025-08-29,RELIANCE.NS,1374.7437651325777,1397.0406983353935,1343.7869203796088,1350.9537353515625,18758842,-2.070862138199292
2025-09-01,RELIANCE.NS,1349.759256141992,1356.9260708455383,1334.430107544873,1347.6689453125,11232238,-0.24314600515965568
2025-09-02,RELIANCE.NS,1348.5648331807902,1378.128095842481,1348.2661652716795,1360.2109375,11517006,0.9306434069823899
2025-09-03,RELIANCE.NS,1363.3961593284287,1370.1649121838109,1354.2385492379765,1366.2828369140625,7847563,0.4463939560155561
2025-09-04,RELIANCE.NS,1365.4865379446771,1367.6763641601647,1350.8541196588233,1353.0440673828125,13223177,-0.9689625876550978
2025-09-05,RELIANCE.NS,1356.7271022727273,1374.6442613636364,1353.0441792852228,1368.671875,5777575,1.1550109855192225
2025-09-08,RELIANCE.NS,1373.6488583038629,1379.6212446443146,1366.0838599076599,1372.15576171875,6986720,0.25454506535760313
2025-09-09,RELIANCE.NS,1370.2643943031567,1374.843199236951,1362.4007284883235,1369.8662109375,9754452,-0.1668579358936717
2025-09-10,RELIANCE.NS,1377.5308659113482,1382.1096709119122,1367.7759200987732,1370.66259765625,7790815,0.05813609478000359
2025-09-11,RELIANCE.NS,1369.6672638548873,1379.1235422027225,1368.6718661340626,1376.9337158203125,9766072,0.4575245705825681
2025-09-12,RELIANCE.NS,1376.9337291414593,1389.873899637371,1374.146566892781,1388.579833984375,7403368,0.8458009292861446
2025-09-15,RELIANCE.NS,1386.5889315301856,1394.3530818320328,1382.2091575524387,1392.8599853515625,5396697,0.30823948774383325
2025-09-16,RELIANCE.NS,1398.2350616507645,1401.5199225726963,1391.7649767809332,1398.8323974609375,8686961,0.4287876866437168
2025-09-17,RELIANCE.NS,1400.5245819104894,1409.6821922648512,1400.4250664409112,1407.2933349609375,7519417,0.6048571305152572
2025-09-18,RELIANCE.NS,1413.8628424954393,1415.4554544293837,1404.2074124117412,1408.4876708984375,9332642,0.08486758999204369
2025-09-19,RELIANCE.NS,1408.3882121473878,1410.4785229891424,1397.1401696768169,1400.9227294921875,13461373,-0.5370967430211482
2025-09-22,RELIANCE.NS,1397.4387885526373,1404.2074196840813,1381.6119415772491,1384.199951171875,7757970,-1.193697408733907
2025-09-23,RELIANCE.NS,1384.5982372618869,1388.5798281670254,1370.4636381520502,1383.40380859375,14014702,-0.05751644315916682
2025-09-24,RELIANCE.NS,1378.9244730635044,1389.5751797778832,1374.0470000648747,1376.635009765625,5922759,-0.4892858315176718
2025-09-25,RELIANCE.NS,1374.942926360271,1378.128150477363,1362.6994857374575,1366.0838623046875,11411143,-0.7664448009885971
2025-09-26,RELIANCE.NS,1365.685684712474,1376.3363918134596,1359.7132983361805,1371.2598876953125,9879109,0.37889514205171615
2025-09-29,RELIANCE.NS,1375.2413599514077,1382.6073268149732,1361.7039763015719,1366.48193359375,14231999,-0.34843534361621575
2025-09-30,RELIANCE.NS,1370.7620971908361,1370.7620971908361,1356.5279835173724,1357.722412109375,14604684,-0.6410272444172027
2025-10-01,RELIANCE.NS,1360.7086293823172,1372.255218175594,1356.4283707523282,1362.4007568359375,12045916,0.3445729911237372
2025-10-03,RELIANCE.NS,1356.926091696157,1365.287456651113,1350.6551591113212,1357.125244140625,12842347,-0.38722179717254335
2025-10-06,RELIANCE.NS,1353.740909090909,1371.0608538471567,1352.7455113636363,1368.671875,12396580,0.8508154209957652
2025-10-07,RELIANCE.NS,1369.667209612737,1389.47564777439,1369.5676941462978,1378.4267578125,11244040,0.712726183001311
2025-10-08,RELIANCE.NS,1378.426755451918,1382.6073771032557,1358.2201339506064,1361.1068115234375,8525081,-1.2565010212474692
2025-10-09,RELIANCE.NS,1367.676424553763,1373.6488106871855,1362.7989515764332,1371.458984375,8826633,0.7605702038898432
2025-10-10,RELIANCE.NS,1371.45898859096,1381.6119964455866,1368.7713419175536,1375.3409423828125,6373084,0.28305316105254885
2025-10-13,RELIANCE.NS,1370.5631549835205,1371.3594002602317,1361.505059967041,1368.671875,7600682,-0.48490284679943985
2025-10-14,RELIANCE.NS,1373.6488553790207,1381.612037149334,1363.7943936365562,1369.5677490234375,9768174,0.06545571950453688
2025-10-15,RELIANCE.NS,1376.6350089791804,1377.6304066718624,1366.382364141153,1367.97509765625,10882743,-0.1162886150263942
2025-10-16,RELIANCE.NS,1368.7713249510273,1394.0544503152107,1368.671809484766,1391.8646240234375,12315932,1.7463421964418302
2025-10-17,RELIANCE.NS,1394.5522084059296,1416.7496262080865,1392.6609284325848,1410.279541015625,19335561,1.3230393728203227
2025-10-20,RELIANCE.NS,1433.3726108781723,1467.0170999313523,1426.7034952504036,1460.04931640625,24721978,3.5290716445324666
2025-10-21,RELIANCE.NS,1461.2438272093502,1467.2162134241023,1453.2806455896807,1458.4566650390625,2066169,-0.10908202546936474
2025-10-23,RELIANCE.NS,1468.2115624957596,1476.0752283864208,1437.9514490416038,1441.7340087890625,18707090,-1.14659946029676
2025-10-24,RELIANCE.NS,1443.3266994671071,1453.0816457634617,1434.3681199531734,1444.9193115234375,9700837,0.2209355342217556
2025-10-27,RELIANCE.NS,1456.266786847925,1478.16553552233,1451.289798512833,1477.2696533203125,14113867,2.2389029988648
2025-10-28,RELIANCE.NS,1477.26972256393,1485.1333888036675,1470.79963742504,1480.056884765625,17631577,0.18867452120525652
2025-10-29,RELIANCE.NS,1483.1425015536738,1501.3583271895798,1481.2512217130793,1497.277099609375,11884745,1.163483310742941
2025-10-30,RELIANCE.NS,1493.0964871305005,1496.1821955688695,1477.1701246011085,1481.6494140625,9318663,-1.0437403705000348
2025-10-31,RELIANCE.NS,1483.540795005222,1490.6080945575152,1475.4780977270138,1479.5592041015625,8758053,-0.1410731810844834
2025-11-03,RELIANCE.NS,1479.1610089962214,1488.1195884585134,1472.4918928888083,1477.866943359375,8452085,-0.11437600722541408
2025-11-04,RELIANCE.NS,1477.07065615293,1485.9297198935935,1463.334119430687,1466.3203125,10007806,-0.7813038184024901
2025-11-06,RELIANCE.NS,1477.1701896475465,1494.6891648996161,1469.406038969176,1489.2144775390625,16772678,1.5613345081491259
2025-11-07,RELIANCE.NS,1487.7213309001133,1491.5038906434634,1469.1074431042953,1471.19775390625,7821765,-1.2098138921255441
2025-11-10,RELIANCE.NS,1471.0982430243503,1494.0919049344996,1468.7092643110286,1482.44580078125,7068438,0.7645503023053557
2025-11-11,RELIANCE.NS,1490.1103850249956,1491.9021495222175,1473.3876547459602,1486.5269775390625,7127506,0.27530023395538894
2025-11-12,RELIANCE.NS,1498.0734942427068,1517.6827797499902,1493.0965058897411,1504.5435791015625,12384459,1.211992909292925
2025-11-13,RELIANCE.NS,1508.0275174062697,1515.0948167835015,1499.8653048593553,1503.9464111328125,7196443,-0.039690971869799085
2025-11-14,RELIANCE.NS,1498.5711928131457,1513.900341239272,1498.5711928131457,1511.9095458984375,7682823,0.5294826136542197
2025-11-17,RELIANCE.NS,1513.900387650411,1516.6874283079178,1504.5436249599409,1511.3123779296875,5871416,-0.03949759893837612
2025-11-18,RELIANCE.NS,1514.696568271851,1520.7685911952462,1503.5481631005248,1512.4072265625,11045042,0.072443569496361
2025-11-19,RELIANCE.NS,1510.4164493928117,1515.2939222795571,1505.0412776708577,1511.9095458984375,5692366,-0.03290652512906167
2025-11-20,RELIANCE.NS,1522.9585089376258,1543.7623455509595,1519.6736478639639,1541.9705810546875,18171724,1.9882826481121718
2025-11-21,RELIANCE.NS,1533.9078528560988,1550.6305827884978,1533.0119706260582,1539.4820556640625,9615271,-0.1613860485537244
2025-11-24,RELIANCE.NS,1542.8663816107544,1542.8663816107544,1524.7501927010492,1528.831298828125,18433951,-0.6918402716518335
2025-11-25,RELIANCE.NS,1528.8313312270848,1552.4222077972818,1518.0809876078647,1532.61376953125,15033482,0.24740929270772316
2025-11-26,RELIANCE.NS,1535.2018536795324,1564.3669320995493,1533.4100892950657,1562.6748046875,14054299,1.9614227507197768
2025-11-27,RELIANCE.NS,1567.7513003642512,1568.2489991897637,1548.8387449947777,1556.2047119140625,9794643,-0.41403961681787393
2025-11-28,RELIANCE.NS,1560.7835875199362,1574.0224254817672,1555.806599039324,1560.285888671875,8959508,0.2622519213936192
2025-12-01,RELIANCE.NS,1567.7513979315313,1570.2398922139623,1556.403839701944,1558.892333984375,8920233,-0.08931406081523763
2025-12-02,RELIANCE.NS,1553.9152843475838,1560.2858537619331,1534.9032130787248,1539.1834716796875,11389150,-1.2642863060538412
2025-12-03,RELIANCE.NS,1538.0884656023031,1545.2554018922647,1525.9446623591427,1531.718017578125,6090883,-0.48502691452472213
2025-12-04,RELIANCE.NS,1528.9308982335338,1553.3181423785347,1510.6155558800758,1528.53271484375,11867930,-0.2079562098127874
2025-12-05,RELIANCE.NS,1523.356635808528,1538.685784402705,1513.6016899280953,1533.5096435546875,10183266,0.3256017134998901
2025-12-08,RELIANCE.NS,1532.1161217020071,1543.861863398969,1527.9354998822807,1535.898681640625,11301491,0.1557889183141814
2025-12-09,RELIANCE.NS,1533.211064854301,1535.4008911036892,1513.1039592099478,1522.3612060546875,11503971,-0.8814042063944538
2025-12-10,RELIANCE.NS,1526.9401045329791,1540.3779737710465,1524.3520947592017,1529.8267822265625,7991629,0.4903945359473916
2025-12-11,RELIANCE.NS,1529.826707449835,1542.8663926602953,1516.9860531705099,1537.889404296875,4706197,0.5270284298839245
2025-12-12,RELIANCE.NS,1543.6628294631555,1552.62140892391,1538.9843872841,1549.3365478515625,5106655,0.7443411420030577
2025-12-15,RELIANCE.NS,1544.060853330096,1551.4268205626304,1539.3825327747268,1549.037841796875,5774543,-0.019279610688960336
2025-12-16,RELIANCE.NS,1537.8894294536826,1544.5585453663573,1531.7180123854912,1535.201904296875,11731856,-0.8931955777110256
2025-12-17,RELIANCE.NS,1542.8664391614582,1542.8664391614582,1532.2157323461342,1537.292236328125,7116649,0.13616007284771303
2025-12-18,RELIANCE.NS,1528.1345045583196,1544.3595357154854,1528.1345045583196,1537.292236328125,6580829,0.0
2025-12-19,RELIANCE.NS,1547.2461442463334,1566.9549449740825,1543.8617679066683,1557.8968505859375,13937275,1.3403186310904314
2025-12-22,RELIANCE.NS,1566.2582562309594,1570.2398469681211,1558.0960438231807,1568.1495361328125,10184852,0.658110679344337
2025-12-23,RELIANCE.NS,1573.6241984599117,1573.6241984599117,1560.8830596994947,1563.4710693359375,7506564,-0.2983431547231463
2025-12-24,RELIANCE.NS,1565.4619535362338,1568.448146711295,1546.4498812900458,1551.0286865234375,8815745,-0.7958179116025921
2025-12-26,RELIANCE.NS,1547.5447581940155,1553.8158123179846,1547.1466963201515,1552.0240478515625,2311495,0.06417426942348925
