Stock_Name,Average_Return,Average_Volume,Highest_Price,Lowest_Price,Volatility
HDFCBANK.NS,-0.07649234687532398,28000280.140562247,1003.8961237048558,714.8271607333363,1.24023271662366
ICICIBANK.NS,-0.004806779549941475,13251733.365461847,1488.5144734435703,1187.5999755859375,1.1715887291975768
INFY.NS,-0.14692047729289326,10455329.923694778,1691.3991593070652,1026.0,1.75594474694821
RELIANCE.NS,-0.03933507396253728,13303420.959839357,1604.3820104615531,1253.199951171875,1.270006363056838
TCS.NS,-0.17201276115866898,3520707.5100401607,3357.7757139896216,2055.0,1.5744486632959231
